"ref_area.label","source.label","indicator.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2024",17.649,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2024",21.777,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2023",13.904,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2023",3.982,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2023",16.975,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2023",9.792,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2022",38.745,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2022",13.311,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2022",33.538,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2022",13.898,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2021",32.768,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2021",7.153,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2021",31.417,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2021",8.645,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2020",29.94,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2020",6.818,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2020",29.108,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2020",9.817,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2019",14.609,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2019",10.469,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2019",29.526,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2019",13.886,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Armenia","LFS - Household Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2020",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","LFS - Household Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2020",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
