"ref_area.label","source.label","indicator.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2024",16.564,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2024",12.487,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2024",12.345,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2024",12.242,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2023",27.009,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2023",16.869,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2023",11.983,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2023",11.963,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2022",17.276,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2022",12.654,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2022",9.897,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2022",7.103,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2021",24.839,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2021",6.15,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2021",14.167,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2021",4.501,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2020",32.661,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2020",11.517,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Not elsewhere classified","2020",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2020",23.376,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2020",10.764,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Not elsewhere classified","2020",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2019",20.361,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2019",12.841,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2019",8.007,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2019",5.414,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Armenia","LFS - Household Labour Force Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2020",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","LFS - Household Labour Force Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2020",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","LFS - Household Labour Force Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2020",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","LFS - Household Labour Force Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2020",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","CLS - National Child Labour Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2015",9.981,,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","CLS - National Child Labour Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2015",1.655,,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","CLS - National Child Labour Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2015",6.034,,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","CLS - National Child Labour Survey","Children in hazardous work attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2015",0.32,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
